id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,assignment_id,event_type
1,2019-11-15 17:31:32.290687,,,,,,f,,{},33SA9F9TRY3JEG1QQNCI890QZUNWEX,AssignmentAccepted
2,2019-11-15 17:31:32.318047,,,,,,f,,{},30BXRYBRP56VYQSSGOKOTCX3RAFWHD,AssignmentAccepted
3,2019-11-15 17:31:32.346364,,,,,,f,,{},3SLE99ER0OMP18UBRJUZ65ONDZEZBQ,AssignmentAccepted
4,2019-11-15 17:31:33.419687,,,,,,f,,{},31JLPPHS2V38Z9CRAH4C8OJ753YO3M,AssignmentAccepted
5,2019-11-15 17:31:33.444196,,,,,,f,,{},39DD6S19JQKN8B6V1AWP7DU8GWRZEQ,AssignmentAccepted
6,2019-11-15 17:31:33.468452,,,,,,f,,{},3OVHNO1VE7AIG5SV5FL51VCNGKQZDX,AssignmentAccepted
7,2019-11-15 17:31:33.51967,,,,,,f,,{},3ZY8KE4ISKCVWURQ942MGO6QBO9QVT,AssignmentAccepted
8,2019-11-15 17:31:33.685778,,,,,,f,,{},3QBD8R3Z22STH5VVAV9VITBDJ3UO47,AssignmentAccepted
9,2019-11-15 17:31:33.709949,,,,,,f,,{},3G2UL9A02EN0BM7ACXL8459WP5R67L,AssignmentAccepted
10,2019-11-15 17:31:33.734909,,,,,,f,,{},3IOEN3P9S8SM00S8NH4Z3VIJMJR16J,AssignmentAccepted
11,2019-11-15 17:31:33.784922,,,,,,f,,{},3H7XDTSHKD0HYUXHWI268CL2CA2WGE,AssignmentAccepted
12,2019-11-15 17:31:33.918342,,,,,,f,,{},3Q5C1WP23NAQHWSUIYUUBP4JQOG153,AssignmentAccepted
13,2019-11-15 17:31:33.946578,,,,,,f,,{},37U1UTWH9WVXXJADEQGCT0WNWCB8R8,AssignmentAccepted
14,2019-11-15 17:31:35.20716,,,,,,f,,{},33L7PJKHCH7ADYN5IFL7TFX5KX88TL,AssignmentAccepted
15,2019-11-15 17:31:35.243478,,,,,,f,,{},3X08E93BHWRH7MT5TNGGYR90UU766M,AssignmentAccepted
16,2019-11-15 17:31:35.418974,,,,,,f,,{},3MMN5BL1W0DKZ6RFX1PZGKU2A3K3MN,AssignmentAccepted
17,2019-11-15 17:32:08.968678,,,,,,f,,{},3QBD8R3Z22STH5VVAV9VITBDJ3UO47,AssignmentAccepted
18,2019-11-15 17:32:09.025391,,,,,,f,,{},3QBD8R3Z22STH5VVAV9VITBDJ3UO47,AssignmentReturned
19,2019-11-15 17:35:44.093623,,,,,,f,,{},3MMN5BL1W0DKZ6RFX1PZGKU2A3K3MN,AssignmentReturned
20,2019-11-15 17:35:56.826031,,,,,,f,,{},3MMN5BL1W0DKZ6RFX1PZGKU2A3K3MN,AssignmentAccepted
21,2019-11-15 17:50:49.834149,,,,,,f,,{},3G2UL9A02EN0BM7ACXL8459WP5R67L,AssignmentReturned
22,2019-11-15 17:50:49.866068,,,,,,f,,{},3G2UL9A02EN0BM7ACXL8459WP5R67L,AssignmentAccepted
23,2019-11-15 17:52:28.823733,,,,,,f,,{},3H7XDTSHKD0HYUXHWI268CL2CA2WGE,AssignmentSubmitted
24,2019-11-15 17:52:44.093683,,,,,,f,,{},3OVHNO1VE7AIG5SV5FL51VCNGKQZDX,AssignmentSubmitted
25,2019-11-15 17:54:24.8125,,,,,,f,,{},3SLE99ER0OMP18UBRJUZ65ONDZEZBQ,AssignmentSubmitted
26,2019-11-15 17:55:15.41721,,,,,,f,,{},3MMN5BL1W0DKZ6RFX1PZGKU2A3K3MN,AssignmentSubmitted
27,2019-11-15 17:55:49.024566,,,,,,f,,{},33L7PJKHCH7ADYN5IFL7TFX5KX88TL,AssignmentReturned
28,2019-11-15 17:56:05.387473,,,,,,f,,{},33L7PJKHCH7ADYN5IFL7TFX5KX88TL,AssignmentAccepted
29,2019-11-15 18:06:35.381069,,,,,,f,,{},33SA9F9TRY3JEG1QQNCI890QZUNWEX,AssignmentReturned
30,2019-11-15 18:06:41.94764,,,,,,f,,{},33SA9F9TRY3JEG1QQNCI890QZUNWEX,AssignmentAccepted
31,2019-11-15 18:08:21.036294,,,,,,f,,{},3QBD8R3Z22STH5VVAV9VITBDJ3UO47,AssignmentSubmitted
32,2019-11-15 18:08:48.474194,,,,,,f,,{},31JLPPHS2V38Z9CRAH4C8OJ753YO3M,AssignmentSubmitted
33,2019-11-15 18:09:31.317736,,,,,,f,,{},37U1UTWH9WVXXJADEQGCT0WNWCB8R8,AssignmentSubmitted
34,2019-11-15 18:09:43.538863,,,,,,f,,{},3Q5C1WP23NAQHWSUIYUUBP4JQOG153,AssignmentSubmitted
35,2019-11-15 18:15:44.946951,,,,,,f,,{},39DD6S19JQKN8B6V1AWP7DU8GWRZEQ,AssignmentReturned
36,2019-11-15 18:16:00.880544,,,,,,f,,{},39DD6S19JQKN8B6V1AWP7DU8GWRZEQ,AssignmentAccepted
37,2019-11-15 18:19:12.673836,,,,,,f,,{},33SA9F9TRY3JEG1QQNCI890QZUNWEX,AssignmentReturned
38,2019-11-15 18:19:21.876196,,,,,,f,,{},33SA9F9TRY3JEG1QQNCI890QZUNWEX,AssignmentAccepted
39,2019-11-15 18:21:39.877781,,,,,,f,,{},33SA9F9TRY3JEG1QQNCI890QZUNWEX,AssignmentReturned
